Participant card No: 75
Clear time: 2025-09-26 23:23:05
Record count 18
 Start - 2025-10-04 10:44:20
    54 - 2025-10-04 11:01:55
    50 - 2025-10-04 11:09:34
    42 - 2025-10-04 11:18:33
    52 - 2025-10-04 11:29:10
    71 - 2025-10-04 11:41:47
    64 - 2025-10-04 11:50:05
    63 - 2025-10-04 12:01:49
    60 - 2025-10-04 12:17:42
    70 - 2025-10-04 12:35:21
    62 - 2025-10-04 12:50:56
    53 - 2025-10-04 12:59:03
    44 - 2025-10-04 13:07:46
    40 - 2025-10-04 13:13:36
    33 - 2025-10-04 13:19:30
    31 - 2025-10-04 13:30:18
    34 - 2025-10-04 13:36:04
Finish - 2025-10-04 13:44:18
